soil_type,N,P,K,ph,organic_carbon,ec,health_score,health_class
Laterite,50.1,81.0,70.2,7.72,0.1,2.1,75.3,Healthy
Red,121.1,72.7,73.9,5.57,2.95,0.45,77.5,Healthy
Alluvial,143.4,99.0,187.4,7.93,2.24,3.59,39.5,Poor
Laterite,149.7,25.4,69.8,5.68,2.52,3.95,59.3,Moderate
Red,40.7,48.1,96.3,8.75,1.85,1.41,75.1,Healthy
Mountain,55.3,115.8,49.3,5.28,0.3,3.31,69.8,Moderate
Mountain,140.4,127.3,20.8,4.64,1.3,2.58,47.3,Poor
Alluvial,37.7,51.7,42.8,8.24,2.12,1.64,79.6,Healthy
Mountain,47.1,20.4,179.6,8.27,0.64,2.98,66.5,Moderate
Red,75.6,55.0,18.7,5.67,0.32,0.94,80.1,Healthy
Desert,11.9,24.6,4.5,4.04,0.39,3.84,37.5,Poor
Alluvial,78.9,140.5,24.7,7.88,0.57,0.24,69.7,Moderate
Black,108.8,77.3,172.3,4.12,1.85,3.96,64.3,Moderate
Black,54.8,16.5,81.4,8.53,2.94,0.27,66.5,Moderate
Black,130.3,19.4,79.6,6.19,1.48,0.16,86.1,Healthy
Black,25.7,105.5,170.6,7.01,0.22,2.98,42.9,Poor
Alluvial,91.1,48.5,2.0,8.9,2.91,2.15,46.8,Poor
Red,65.1,70.0,90.7,6.72,1.68,3.99,90.1,Healthy
Desert,4.5,55.3,157.5,5.02,2.6,2.81,42.5,Poor
Mountain,133.9,11.1,37.5,8.5,2.73,0.31,53.9,Moderate
Alluvial,65.5,18.6,57.2,3.54,0.18,1.72,58.0,Moderate
Laterite,37.5,57.0,21.7,7.12,1.24,0.65,79.1,Healthy
Red,18.6,117.1,58.7,8.76,1.28,0.62,59.1,Moderate
Desert,68.2,2.3,111.5,7.48,2.44,1.39,77.9,Healthy
Alluvial,36.8,130.7,146.8,8.21,1.4,2.08,61.2,Moderate
Alluvial,39.9,5.2,125.8,4.16,1.32,0.92,62.1,Moderate
Desert,33.7,71.6,108.2,8.11,0.58,0.06,82.6,Healthy
Red,47.8,124.7,199.0,7.34,1.5,1.03,66.5,Moderate
Laterite,6.5,102.3,125.6,8.74,1.93,0.28,57.9,Moderate
Alluvial,23.1,21.5,133.5,4.74,2.51,3.55,57.8,Moderate
Red,110.1,131.3,86.8,4.28,0.85,1.56,69.3,Moderate
Alluvial,70.3,15.9,206.7,5.04,0.82,0.0,72.2,Moderate
Laterite,92.9,39.7,94.3,8.21,0.1,3.97,69.8,Moderate
Desert,19.6,23.6,73.7,3.62,0.49,0.88,62.1,Moderate
Mountain,24.3,22.9,13.0,6.64,0.64,2.17,70.3,Moderate
Desert,25.8,146.9,174.5,6.31,1.59,2.32,54.7,Moderate
Laterite,45.8,51.5,82.0,4.33,1.93,1.6,79.0,Healthy
Desert,32.0,78.4,153.6,7.96,1.47,0.34,71.3,Moderate
Laterite,86.2,19.8,163.2,5.07,1.95,0.1,83.6,Healthy
Desert,8.9,130.0,32.4,6.53,1.58,3.26,51.7,Moderate
Mountain,7.2,45.2,132.3,3.81,2.97,2.14,43.2,Poor
Mountain,20.6,48.3,196.8,4.82,2.23,0.32,65.0,Moderate
Laterite,98.5,80.8,109.7,7.27,0.1,2.29,77.0,Healthy
Red,48.4,117.8,42.3,6.04,1.6,2.38,81.4,Healthy
Desert,121.1,132.9,68.5,8.05,1.61,1.04,80.2,Healthy
Laterite,125.3,122.1,133.0,5.32,0.29,0.68,62.3,Moderate
Laterite,6.7,86.4,171.9,7.88,1.14,2.31,58.5,Moderate
Laterite,79.5,137.6,85.5,4.93,1.2,1.03,72.6,Moderate
Laterite,70.7,104.4,29.2,6.29,1.36,1.73,89.4,Healthy
Desert,54.1,122.9,91.3,7.44,1.86,0.41,92.2,Healthy
Alluvial,61.5,105.0,41.3,3.96,2.8,1.48,63.7,Moderate
Alluvial,92.8,140.0,161.5,8.93,2.81,1.82,46.5,Poor
Laterite,76.6,27.0,147.5,5.21,1.0,3.86,75.0,Healthy
Mountain,96.2,55.5,72.6,3.68,2.98,3.35,63.7,Moderate
Desert,63.1,114.4,114.4,8.04,1.29,2.31,77.3,Healthy
Black,89.9,44.1,54.7,3.52,1.76,3.35,73.4,Moderate
Black,44.9,109.9,146.0,7.53,2.63,1.8,61.7,Moderate
Black,77.5,114.0,48.4,3.78,0.19,0.64,63.3,Moderate
Desert,80.3,47.0,62.8,6.54,2.26,0.72,94.3,Healthy
Red,96.8,55.6,65.9,7.73,0.74,2.85,91.7,Healthy
Desert,131.2,137.2,131.6,8.64,1.72,1.23,60.0,Moderate
Mountain,46.6,94.0,180.0,5.99,1.52,3.24,61.2,Moderate
Alluvial,137.6,129.8,118.5,8.06,1.12,2.35,60.1,Moderate
Laterite,81.9,20.7,162.5,8.58,1.03,1.42,79.0,Healthy
Mountain,39.8,62.6,17.0,8.91,1.52,2.21,62.8,Moderate
Laterite,42.9,88.9,116.0,7.91,2.17,0.85,84.8,Healthy
Desert,35.9,13.4,114.1,8.95,2.37,2.02,55.2,Moderate
Desert,40.6,99.2,167.0,5.75,0.57,1.9,62.2,Moderate
Alluvial,28.3,53.8,89.4,7.75,2.8,0.07,67.5,Moderate
Alluvial,96.0,53.2,101.8,4.06,1.04,3.96,75.2,Healthy
Mountain,98.4,79.7,42.2,5.79,2.87,3.2,70.1,Moderate
Alluvial,58.4,7.3,25.1,7.63,0.36,3.61,62.2,Moderate
Mountain,56.0,13.8,61.9,7.58,1.32,3.21,81.4,Healthy
Alluvial,123.6,129.0,151.7,4.62,0.75,0.26,72.7,Moderate
Desert,51.8,134.2,209.5,4.06,2.36,2.22,40.6,Poor
Red,12.0,105.3,69.0,5.25,0.26,0.71,55.9,Moderate
Black,132.9,89.5,132.5,3.59,0.34,2.1,49.7,Poor
Black,123.1,94.4,25.3,8.86,0.47,2.77,50.9,Moderate
Red,24.6,132.9,107.7,4.19,2.37,3.55,45.5,Poor
Alluvial,17.6,37.7,108.1,8.73,2.6,1.3,60.6,Moderate
Red,102.6,146.4,118.3,5.01,1.85,1.32,73.3,Moderate
Alluvial,135.7,34.1,192.1,6.09,0.99,2.73,65.1,Moderate
Laterite,65.0,137.5,31.7,5.93,1.17,2.18,74.0,Moderate
Laterite,104.1,37.0,110.7,4.06,1.36,1.72,86.1,Healthy
Alluvial,10.2,3.5,132.9,5.54,0.33,1.15,50.4,Moderate
Laterite,12.9,109.0,167.4,8.85,0.89,3.05,37.2,Poor
Black,116.0,75.2,91.2,6.65,2.02,2.23,91.0,Healthy
Red,13.2,62.6,158.2,5.91,2.91,2.14,57.9,Moderate
Alluvial,49.7,71.2,133.4,8.06,1.75,0.55,84.0,Healthy
Alluvial,55.0,50.3,206.2,8.71,1.68,1.39,65.6,Moderate
Laterite,2.9,1.7,54.9,6.78,1.22,3.83,50.4,Moderate
Desert,19.4,55.7,27.0,7.75,1.27,0.47,79.9,Healthy
Red,0.9,97.5,158.3,8.39,2.17,2.39,46.8,Poor
Desert,91.4,87.4,120.4,7.2,2.78,2.15,75.0,Healthy
Red,134.2,51.9,106.0,5.05,1.41,2.98,73.1,Moderate
Red,19.2,37.3,88.1,3.89,2.3,3.07,59.5,Moderate
Alluvial,142.6,74.2,137.3,8.76,2.8,0.63,50.0,Moderate
Mountain,62.0,64.8,4.9,5.8,0.61,0.48,79.8,Healthy
Desert,64.4,121.1,50.0,4.64,1.59,0.43,76.0,Healthy
Laterite,31.1,22.3,185.2,4.31,0.14,2.47,45.1,Poor
Black,39.8,10.0,189.4,5.09,2.98,0.03,47.8,Poor
Alluvial,46.8,67.0,3.7,5.12,0.11,0.32,57.8,Moderate
Alluvial,57.0,143.7,101.4,4.97,2.98,1.12,53.6,Moderate
Mountain,31.7,62.7,15.5,8.41,1.51,1.53,66.3,Moderate
Red,123.1,116.1,180.9,7.66,2.05,2.22,64.2,Moderate
Black,60.4,136.8,202.6,7.85,0.31,0.16,58.1,Moderate
Desert,23.2,72.5,170.3,8.23,1.61,0.41,67.6,Moderate
Laterite,28.0,132.2,71.4,5.44,1.87,1.07,69.6,Moderate
Laterite,79.2,18.3,190.4,6.92,1.86,1.49,78.0,Healthy
Red,20.1,21.9,42.7,7.65,0.96,1.27,74.4,Moderate
Mountain,141.5,123.0,13.4,3.9,0.72,3.31,40.0,Poor
Alluvial,59.3,137.2,43.1,5.46,2.62,3.5,65.5,Moderate
Desert,16.3,107.2,127.0,4.64,0.85,2.96,57.9,Moderate
Black,119.8,144.0,175.3,6.43,2.07,0.5,71.4,Moderate
Red,129.8,19.3,103.4,4.82,1.03,2.69,75.0,Healthy
Laterite,108.5,48.7,77.8,8.3,2.73,1.67,82.7,Healthy
Alluvial,72.8,86.7,4.8,3.9,2.06,3.88,55.5,Moderate
Black,79.4,91.2,35.7,6.95,0.79,3.05,82.3,Healthy
Mountain,1.0,83.4,7.6,5.59,0.96,0.66,52.3,Moderate
Desert,118.1,28.8,44.7,8.26,1.83,0.75,92.3,Healthy
Desert,142.5,9.4,1.6,4.04,2.15,0.93,35.0,Poor
Desert,120.9,121.4,119.9,8.5,2.14,0.39,73.0,Moderate
Alluvial,104.2,128.3,47.9,4.2,2.88,1.71,64.3,Moderate
Laterite,135.0,65.4,146.4,7.55,0.34,1.84,71.3,Moderate
Laterite,3.8,105.2,82.4,5.28,1.17,1.67,61.9,Moderate
Black,134.9,139.5,123.9,6.29,0.31,2.83,56.6,Moderate
Red,134.0,120.9,149.6,6.91,1.83,0.76,71.8,Moderate
Alluvial,93.7,13.2,53.1,5.01,0.33,2.8,68.7,Moderate
Alluvial,11.0,128.8,16.8,4.66,1.45,1.99,40.0,Poor
Red,12.2,133.2,21.4,7.26,1.79,3.7,52.4,Moderate
Desert,115.7,112.5,209.0,4.52,0.86,1.83,58.7,Moderate
Desert,1.3,109.1,58.4,7.11,0.24,1.42,52.5,Moderate
Red,7.3,49.3,195.9,5.07,2.49,1.52,50.7,Moderate
Red,105.8,12.9,130.5,4.57,0.13,3.64,58.6,Moderate
Alluvial,100.4,14.5,101.9,5.57,1.17,3.75,83.2,Healthy
Alluvial,9.6,126.1,180.4,3.94,1.27,0.63,38.4,Poor
Mountain,144.1,142.8,67.0,8.75,2.82,0.47,40.8,Poor
Black,103.5,90.8,145.5,4.49,1.74,1.63,76.0,Healthy
Mountain,10.3,51.2,170.9,4.45,2.02,3.12,51.7,Moderate
Mountain,130.5,123.9,23.5,7.22,0.36,3.78,55.0,Moderate
Red,132.3,126.4,100.8,7.93,2.39,2.62,56.1,Moderate
Desert,88.7,80.5,139.9,8.87,1.65,2.19,74.4,Moderate
Alluvial,81.1,12.3,114.7,6.09,1.98,0.68,97.4,Healthy
Red,118.0,32.0,7.1,4.62,1.75,0.5,74.2,Moderate
Red,43.2,97.7,71.1,4.11,0.71,3.18,63.3,Moderate
Mountain,140.9,6.3,119.8,8.07,1.96,0.6,64.5,Moderate
Desert,105.1,134.2,200.5,8.36,2.28,3.63,42.9,Poor
Laterite,75.9,15.6,168.2,7.34,0.68,1.72,80.3,Healthy
Laterite,9.0,119.7,208.9,5.43,1.16,1.21,46.3,Poor
Laterite,124.0,106.5,107.0,4.44,1.84,2.5,69.8,Moderate
Laterite,84.1,127.9,48.8,8.43,2.93,0.36,62.5,Moderate
Laterite,57.6,116.0,90.4,6.92,2.45,1.99,75.2,Healthy
Laterite,68.7,46.6,126.7,5.73,2.69,1.15,89.1,Healthy
Red,25.8,81.3,101.8,6.85,2.17,2.96,72.3,Moderate
Mountain,93.6,124.7,23.1,8.66,0.74,3.35,54.6,Moderate
Red,42.3,43.4,120.7,8.55,2.93,2.26,64.3,Moderate
Mountain,73.2,141.5,108.1,6.29,2.44,2.89,70.2,Moderate
Mountain,101.1,101.8,183.7,7.7,1.29,1.53,71.5,Moderate
Alluvial,25.5,72.4,69.4,4.4,2.27,1.24,67.9,Moderate
Alluvial,48.8,108.7,116.3,5.98,0.57,3.95,70.6,Moderate
Alluvial,103.6,126.1,188.8,7.37,0.65,3.43,57.6,Moderate
Red,48.3,132.1,0.3,7.24,2.67,1.12,53.8,Moderate
Mountain,109.7,90.0,20.0,7.53,2.68,1.25,76.7,Healthy
Alluvial,14.5,96.1,26.8,5.14,1.82,1.09,56.5,Moderate
Black,76.6,114.4,158.3,8.65,2.33,3.71,51.2,Moderate
Red,52.4,111.5,158.3,6.12,1.04,0.45,76.4,Healthy
Mountain,31.4,33.3,163.3,8.37,1.79,3.69,57.5,Moderate
Alluvial,73.5,106.3,63.6,4.86,1.3,2.18,75.4,Healthy
Mountain,26.2,61.8,201.6,5.65,2.79,0.73,58.9,Moderate
Desert,76.0,22.7,23.8,7.19,1.09,2.8,81.6,Healthy
Desert,87.8,39.9,161.7,7.57,2.21,0.76,84.7,Healthy
Red,32.2,10.9,23.4,5.97,0.58,1.26,63.0,Moderate
Desert,79.3,20.9,178.0,6.34,1.48,0.16,84.6,Healthy
Desert,54.1,145.4,50.3,8.34,0.17,2.34,49.1,Poor
Alluvial,51.9,14.2,172.4,8.05,0.83,2.85,69.3,Moderate
Red,79.7,67.7,205.7,8.43,0.67,2.65,61.9,Moderate
Alluvial,85.6,137.5,52.3,7.48,1.0,2.1,81.9,Healthy
Desert,1.2,119.6,116.4,3.93,2.56,2.84,37.4,Poor
Desert,118.6,53.8,91.5,5.46,1.05,3.77,88.1,Healthy
Black,58.2,122.3,72.9,6.93,1.35,0.48,83.8,Healthy
Black,69.0,124.6,187.8,8.22,2.11,2.11,62.4,Moderate
Laterite,139.7,128.1,110.5,7.65,2.71,1.22,60.3,Moderate
Black,83.4,14.1,168.2,3.78,0.73,0.13,67.2,Moderate
Mountain,92.4,84.4,127.6,6.91,0.37,0.7,86.0,Healthy
Black,92.0,145.3,21.1,4.56,0.92,3.68,54.1,Moderate
Red,119.6,144.6,97.3,5.05,1.85,2.09,65.6,Moderate
Desert,81.3,41.0,108.0,8.41,2.85,1.59,78.8,Healthy
Mountain,22.2,73.1,112.6,4.72,0.8,1.54,73.7,Moderate
Alluvial,79.5,132.7,9.4,4.42,1.43,3.1,53.8,Moderate
Black,16.0,75.0,160.9,7.93,2.53,3.64,56.1,Moderate
Alluvial,48.5,29.3,115.3,6.86,1.29,2.3,89.9,Healthy
Alluvial,51.4,56.5,159.8,4.56,0.33,0.73,69.0,Moderate
Alluvial,56.1,52.1,113.1,3.83,1.04,1.67,81.3,Healthy
Laterite,42.0,129.9,45.9,5.16,1.7,1.62,71.5,Moderate
Laterite,7.0,91.0,190.1,3.78,1.11,0.07,45.3,Poor
Black,112.2,43.3,36.8,6.53,0.26,2.57,86.2,Healthy
Mountain,40.5,37.3,75.6,4.51,1.01,1.12,80.7,Healthy
Black,73.0,114.5,195.7,7.85,2.35,1.52,63.9,Moderate
Desert,119.1,98.0,204.6,4.37,0.53,0.22,61.2,Moderate
Red,93.8,133.0,44.7,4.94,0.47,2.1,64.1,Moderate
Desert,148.9,122.5,68.5,5.75,1.73,0.21,62.3,Moderate
Desert,2.4,11.5,200.8,6.71,1.39,0.63,56.4,Moderate
Red,20.2,108.6,1.5,6.14,2.51,3.14,47.2,Poor
Mountain,42.4,117.3,186.7,7.14,0.24,3.32,47.6,Poor
Black,116.4,146.1,141.0,7.09,0.27,1.96,65.1,Moderate
Black,77.2,45.2,9.4,3.85,0.27,2.81,54.6,Moderate
Desert,111.0,84.9,205.3,3.83,1.01,3.82,52.6,Moderate
Desert,121.0,128.0,198.6,7.26,2.72,2.95,50.1,Moderate
Laterite,80.9,110.5,182.5,6.96,0.35,0.37,68.1,Moderate
Alluvial,8.7,107.9,47.2,6.11,0.94,1.48,65.5,Moderate
Alluvial,36.5,79.9,121.4,5.78,0.45,1.7,76.0,Healthy
Laterite,5.0,105.9,145.7,3.66,0.6,0.58,43.2,Poor
Alluvial,21.7,148.8,107.1,7.22,2.61,1.36,56.3,Moderate
Red,136.7,108.6,100.5,4.39,2.39,1.14,59.5,Moderate
Desert,31.9,86.7,56.9,7.65,1.21,1.12,80.9,Healthy
Red,81.3,52.5,170.7,5.58,1.64,2.31,81.3,Healthy
Mountain,69.4,107.4,41.3,6.58,2.98,0.06,76.2,Healthy
Black,96.8,125.6,190.7,4.84,2.02,0.48,65.1,Moderate
Red,145.2,59.2,164.0,8.4,0.44,2.9,46.0,Poor
Desert,106.4,116.4,121.0,4.25,2.42,2.51,65.9,Moderate
Laterite,122.1,79.0,157.1,6.34,0.5,0.48,87.9,Healthy
Desert,71.2,8.5,8.2,3.78,1.08,3.71,51.8,Moderate
Red,140.1,126.2,39.0,8.3,1.46,3.87,50.9,Moderate
Black,2.3,17.3,28.2,7.5,0.41,1.73,65.0,Moderate
Laterite,8.1,53.8,38.6,4.49,1.62,2.98,69.7,Moderate
Black,26.0,133.6,16.5,5.2,0.73,2.28,47.9,Poor
Black,91.8,39.3,67.6,4.92,0.52,2.5,74.7,Moderate
Alluvial,107.8,141.9,30.8,8.24,2.35,1.71,63.2,Moderate
Laterite,148.1,69.5,113.6,5.36,2.47,2.26,63.2,Moderate
Mountain,138.1,109.0,37.1,8.05,2.86,1.13,58.2,Moderate
Red,141.5,32.0,23.7,6.4,0.16,1.4,61.9,Moderate
Laterite,139.3,29.4,184.4,7.88,0.19,1.49,56.1,Moderate
Red,13.2,23.6,28.5,5.62,0.35,1.87,60.0,Moderate
Laterite,138.2,149.0,60.1,6.08,2.02,0.75,67.1,Moderate
Black,6.9,19.4,110.5,8.78,1.17,3.15,50.5,Moderate
Alluvial,23.3,118.8,183.3,3.91,2.39,0.27,36.2,Poor
Red,21.8,90.3,97.4,3.9,2.96,0.95,50.0,Moderate
Mountain,92.0,11.5,10.3,8.95,1.84,0.64,62.2,Moderate
Mountain,83.7,35.1,170.5,5.12,0.39,3.45,65.1,Moderate
Alluvial,82.1,11.0,193.4,3.51,1.0,1.48,57.9,Moderate
Alluvial,148.2,99.0,142.7,6.71,1.56,0.78,68.4,Moderate
Desert,121.0,83.5,63.3,7.28,0.22,0.35,78.6,Healthy
Alluvial,93.2,62.1,153.6,5.7,0.55,3.92,75.8,Healthy
Laterite,76.2,23.5,43.2,6.72,2.95,1.36,81.1,Healthy
Laterite,118.3,78.9,138.9,4.1,1.39,1.63,79.4,Healthy
Desert,134.9,114.5,57.7,5.99,2.23,0.71,76.4,Healthy
Black,58.8,143.3,73.5,7.94,2.32,2.47,71.4,Moderate
Desert,10.2,69.8,43.9,3.83,1.92,3.69,57.1,Moderate
Mountain,25.4,33.7,197.8,8.22,2.95,3.33,39.6,Poor
Alluvial,110.7,21.1,22.5,5.76,1.24,1.21,88.4,Healthy
Laterite,93.6,98.3,67.1,8.16,2.4,3.69,67.8,Moderate
Laterite,67.2,121.7,204.6,4.59,2.26,0.85,61.6,Moderate
Red,93.1,109.8,53.1,7.69,1.66,0.37,86.1,Healthy
Desert,67.6,40.7,28.9,5.07,1.72,2.09,78.0,Healthy
Laterite,47.6,83.0,43.0,4.81,0.83,1.5,81.8,Healthy
Red,90.9,40.4,22.6,8.91,2.08,2.2,72.2,Moderate
Mountain,25.7,0.7,49.4,6.93,1.15,2.6,58.4,Moderate
Desert,131.3,17.7,175.0,5.76,0.25,2.91,51.3,Moderate
Red,42.4,120.0,53.2,4.06,0.17,1.41,54.4,Moderate
Black,90.1,134.8,150.3,3.93,1.16,3.04,56.3,Moderate
Desert,103.8,111.2,132.0,7.44,2.71,0.47,76.9,Healthy
Black,38.9,120.9,176.4,4.86,2.57,0.32,50.1,Moderate
Alluvial,46.7,38.7,37.5,8.18,2.46,3.1,70.3,Moderate
Alluvial,24.4,71.0,124.3,7.12,0.55,1.27,79.5,Healthy
Black,93.9,132.1,14.2,7.8,0.37,3.84,50.0,Moderate
Laterite,4.6,59.3,145.8,8.61,1.69,0.35,60.1,Moderate
Desert,137.0,145.2,34.1,4.66,1.3,1.99,52.8,Moderate
Laterite,40.7,136.7,126.8,5.59,1.92,3.0,65.6,Moderate
Red,142.2,66.0,100.0,6.68,2.03,1.73,84.7,Healthy
Mountain,39.2,49.1,63.8,5.05,1.47,0.96,86.9,Healthy
Black,145.1,13.5,158.3,8.11,0.87,0.96,60.8,Moderate
Desert,18.5,120.2,96.3,6.43,2.07,3.59,60.8,Moderate
Mountain,64.7,107.7,34.9,8.6,0.46,2.7,61.2,Moderate
Laterite,122.6,56.1,20.7,8.95,0.85,3.23,58.5,Moderate
Red,56.7,6.7,16.0,6.68,1.77,2.94,66.1,Moderate
Red,112.3,124.3,30.9,6.36,0.81,0.96,85.3,Healthy
Desert,59.7,54.8,207.2,5.82,2.76,3.97,54.3,Moderate
Laterite,69.9,88.5,199.2,8.45,2.4,2.96,56.5,Moderate
Mountain,76.7,90.5,34.6,6.56,2.12,1.25,88.2,Healthy
Laterite,116.4,43.9,109.0,4.88,1.98,0.7,92.9,Healthy
Laterite,14.6,65.1,108.0,8.75,2.08,1.07,64.9,Moderate
Black,120.1,46.9,135.6,8.96,2.18,2.64,69.2,Moderate
Laterite,92.8,29.7,64.3,4.55,0.48,0.61,90.6,Healthy
Alluvial,95.7,102.9,169.1,7.66,2.47,0.24,74.6,Moderate
Alluvial,89.3,26.4,31.2,8.36,2.57,0.08,75.1,Healthy
Desert,113.4,139.8,83.0,5.82,1.47,1.4,88.2,Healthy
Desert,23.0,138.8,198.3,4.89,0.97,3.16,39.4,Poor
Mountain,37.8,124.1,121.9,7.35,0.96,3.88,66.7,Moderate
Desert,70.1,125.2,147.1,8.81,2.74,2.67,49.6,Poor
Laterite,53.7,23.0,202.4,8.56,0.87,0.06,65.5,Moderate
Red,147.0,74.1,21.2,3.75,1.17,1.83,47.3,Poor
Red,141.5,116.4,116.9,5.35,2.35,0.4,55.9,Moderate
Desert,116.6,107.0,79.4,6.2,0.54,0.02,83.3,Healthy
Desert,67.8,35.6,53.1,6.24,2.84,2.42,82.3,Healthy
Laterite,14.5,130.0,57.2,6.64,2.07,2.98,58.9,Moderate
Mountain,124.7,115.6,39.6,6.56,1.53,0.53,89.6,Healthy
Desert,70.9,125.0,8.6,4.9,2.77,2.46,46.9,Poor
Alluvial,39.5,47.4,181.7,8.45,1.09,3.33,61.8,Moderate
Desert,77.2,67.8,189.6,5.04,2.33,0.58,73.2,Moderate
Red,50.1,72.3,36.1,4.75,0.8,2.25,82.0,Healthy
Mountain,72.0,117.0,205.3,4.53,0.77,3.98,51.3,Moderate
Alluvial,147.1,96.1,130.9,5.71,0.75,1.04,62.9,Moderate
Laterite,25.0,43.5,36.4,6.43,2.11,2.06,79.9,Healthy
Black,122.9,94.3,198.4,6.72,1.76,2.04,69.1,Moderate
Desert,24.0,6.9,49.2,6.19,1.55,0.69,74.2,Moderate
Laterite,0.4,137.2,181.3,8.37,2.81,1.77,24.2,Poor
Desert,10.9,90.8,143.1,7.08,1.5,2.37,65.9,Moderate
Mountain,64.7,51.1,179.8,4.02,1.92,0.27,78.9,Healthy
Desert,131.2,6.5,20.2,4.19,2.62,2.03,44.0,Poor
Mountain,81.7,59.6,67.0,8.68,2.68,2.44,71.3,Moderate
Mountain,25.0,94.8,158.3,6.86,2.1,3.54,63.9,Moderate
Laterite,96.4,79.1,95.6,7.42,2.5,2.91,80.2,Healthy
Alluvial,37.1,4.1,163.9,4.79,2.83,1.96,41.9,Poor
Desert,127.3,21.9,65.7,3.64,1.91,3.68,68.2,Moderate
Laterite,30.8,149.0,138.6,5.85,2.38,1.15,58.5,Moderate
Black,37.4,82.5,6.3,8.85,0.4,2.24,46.7,Poor
Black,24.9,25.0,206.8,8.47,0.5,1.61,47.9,Poor
Black,139.5,29.6,136.9,6.25,2.02,0.55,79.9,Healthy
Laterite,57.6,50.6,155.7,4.26,1.03,2.2,71.7,Moderate
Red,89.7,90.2,29.7,4.23,2.37,1.67,72.5,Moderate
Black,18.3,104.7,126.6,4.44,0.66,3.6,50.9,Moderate
Mountain,47.5,83.1,188.0,5.81,1.1,1.6,74.8,Moderate
Desert,128.3,13.1,164.3,5.3,1.44,3.19,63.3,Moderate
Laterite,68.7,43.9,158.6,6.06,0.81,1.57,93.5,Healthy
