N,P,K,temperature,humidity,ph,rainfall,season,soil_type,label
12.55,11.04,43.33,20.97,89.67,6.63,91.98,Zaid,Black,pomegranate
22.37,47.55,13.82,24.87,59.95,5.82,54.71,Kharif,Desert,mothbeans
76.37,45.02,35.6,24.84,72.7,6.84,116.96,Kharif,Alluvial,jute
21.4,74.3,28.01,17.35,57.75,7.21,22.4,Rabi,Alluvial,lentil
63.92,53.42,34.43,23.91,82.2,6.47,181.19,Kharif,Alluvial,jute
46.15,61.73,18.97,30.2,71.28,6.39,82.87,Kharif,Alluvial,blackgram
73.61,43.43,43.09,25.51,84.67,6.34,151.47,Kharif,Alluvial,jute
38.61,65.42,89.91,17.69,10.0,8.17,102.63,Rabi,Black,chickpea
36.74,75.24,81.27,20.75,25.88,6.52,107.34,Rabi,Black,chickpea
17.93,89.2,18.19,9.21,20.4,6.15,105.16,Kharif,Mountain,kidneybeans
44.61,55.63,51.19,34.5,93.37,6.7,115.25,Zaid,Laterite,papaya
8.97,25.77,40.06,34.37,60.61,5.17,78.61,Zaid,Laterite,mango
20.06,58.92,17.66,25.87,79.27,7.77,54.09,Kharif,Alluvial,blackgram
75.92,35.76,18.33,19.6,60.36,6.59,126.75,Kharif,Black,maize
22.05,49.12,14.64,29.57,80.65,6.42,61.31,Kharif,Alluvial,mungbean
67.34,48.74,31.18,23.23,59.82,6.27,69.29,Kharif,Black,maize
16.01,65.91,13.44,30.02,55.58,5.45,127.19,Kharif,Black,pigeonpeas
12.8,20.4,40.4,27.13,93.0,6.17,191.44,Kharif,Mountain,coconut
105.72,15.28,45.02,30.43,87.35,6.44,10.0,Zaid,Laterite,muskmelon
56.54,56.41,14.78,21.22,49.88,6.07,24.4,Kharif,Black,maize
52.82,66.37,16.22,32.04,64.41,7.49,62.62,Kharif,Alluvial,blackgram
91.74,21.9,37.26,26.03,48.97,7.37,207.33,Zaid,Red,coffee
24.58,135.19,183.65,24.81,88.44,6.02,69.72,Rabi,Black,grapes
16.94,59.5,25.11,26.08,88.95,6.6,63.13,Zaid,Alluvial,mungbean
110.72,28.63,30.79,21.71,54.81,6.86,112.46,Kharif,Red,coffee
21.85,61.96,13.95,15.08,27.06,5.2,114.08,Rabi,Mountain,kidneybeans
116.21,31.26,20.28,22.94,82.77,7.16,106.38,Kharif,Black,cotton
13.67,150.0,205.01,23.8,94.22,5.66,139.76,Rabi,Mountain,apple
102.03,68.5,37.47,24.56,78.24,5.87,89.42,Zaid,Alluvial,banana
47.34,73.87,23.34,33.94,74.01,7.04,69.98,Kharif,Alluvial,blackgram
88.62,15.33,54.37,22.65,88.54,7.03,49.92,Zaid,Alluvial,watermelon
35.17,16.15,34.93,25.78,91.34,5.23,184.75,Kharif,Mountain,coconut
17.83,72.04,18.31,19.96,67.31,6.68,35.7,Rabi,Alluvial,lentil
19.87,8.82,10.44,25.66,87.13,7.4,86.1,Rabi,Alluvial,orange
49.33,46.47,66.17,24.93,92.36,6.91,117.62,Kharif,Red,papaya
21.2,68.11,18.93,28.58,53.54,6.17,120.43,Kharif,Black,pigeonpeas
13.4,16.94,5.83,21.61,93.86,6.88,141.48,Rabi,Black,orange
103.26,35.02,49.84,24.36,81.75,6.54,185.09,Zaid,Alluvial,rice
129.13,8.51,52.65,31.94,87.85,5.98,27.07,Zaid,Alluvial,muskmelon
16.22,93.48,24.17,38.54,54.62,5.52,174.88,Zaid,Alluvial,pigeonpeas
71.7,13.35,59.7,22.26,87.72,6.58,26.84,Zaid,Alluvial,muskmelon
27.57,12.87,34.91,24.71,91.96,6.3,171.9,Kharif,Laterite,coconut
86.58,62.61,42.98,25.01,77.31,6.91,144.6,Kharif,Alluvial,jute
94.83,93.63,62.65,25.74,72.2,5.69,142.05,Zaid,Alluvial,banana
31.71,62.07,13.08,32.98,80.12,7.35,76.92,Kharif,Alluvial,blackgram
48.02,48.33,61.52,28.13,91.66,6.92,145.15,Zaid,Laterite,papaya
111.03,93.33,50.55,27.23,88.88,5.36,72.58,Zaid,Alluvial,banana
107.12,26.4,22.84,24.76,82.43,7.8,74.77,Kharif,Black,cotton
105.94,5.53,53.54,27.52,78.41,6.56,48.77,Zaid,Alluvial,watermelon
23.51,20.7,7.1,27.84,92.8,7.34,107.89,Rabi,Black,orange
97.72,40.79,34.1,25.38,50.51,6.62,187.23,Kharif,Red,coffee
33.71,64.72,75.71,18.46,22.86,6.19,105.67,Rabi,Black,chickpea
59.62,51.16,33.7,22.25,83.23,6.73,220.11,Zaid,Alluvial,rice
15.01,47.98,11.63,26.22,51.22,6.61,50.8,Kharif,Desert,mothbeans
16.73,3.91,12.97,22.79,91.42,7.51,82.32,Rabi,Black,orange
18.88,23.17,33.11,30.19,41.29,7.1,85.26,Zaid,Laterite,mango
99.65,49.09,21.77,19.44,69.39,6.98,167.45,Kharif,Mountain,coffee
18.71,46.0,16.44,16.87,67.04,6.8,47.33,Kharif,Red,mothbeans
25.21,64.2,19.01,23.6,61.35,6.71,85.44,Kharif,Alluvial,blackgram
11.95,19.41,41.01,27.92,84.4,6.8,143.28,Kharif,Black,pomegranate
51.77,35.43,27.07,19.2,58.27,6.3,102.37,Kharif,Desert,maize
18.76,35.63,24.05,29.42,45.94,7.53,58.09,Kharif,Desert,mothbeans
124.7,48.47,15.12,27.08,77.89,6.85,79.67,Kharif,Black,cotton
63.94,42.55,45.85,39.82,91.85,6.68,171.48,Zaid,Laterite,papaya
28.61,61.33,13.28,30.26,65.49,5.61,129.59,Kharif,Black,pigeonpeas
19.41,39.06,12.17,32.05,58.7,6.89,28.24,Kharif,Desert,mothbeans
19.19,54.91,22.33,18.75,20.03,5.4,131.22,Rabi,Mountain,kidneybeans
104.52,29.81,26.37,33.33,59.06,6.1,89.65,Kharif,Black,coffee
34.56,71.4,8.59,29.74,78.85,7.59,58.9,Kharif,Laterite,blackgram
25.29,60.38,22.36,17.34,71.42,6.82,52.34,Kharif,Alluvial,lentil
12.24,15.02,33.65,27.42,99.48,6.12,164.18,Kharif,Laterite,coconut
73.9,30.48,48.14,20.5,80.66,5.98,255.73,Kharif,Desert,rice
18.59,20.86,4.48,19.14,96.12,7.13,126.93,Rabi,Black,orange
92.7,12.53,56.48,30.82,92.7,6.5,26.31,Zaid,Alluvial,muskmelon
87.92,25.39,39.8,21.97,93.49,6.68,47.71,Zaid,Alluvial,watermelon
21.75,91.49,12.94,14.77,15.2,5.58,132.48,Rabi,Mountain,kidneybeans
101.92,5.12,46.69,27.85,86.37,6.02,20.84,Kharif,Alluvial,watermelon
74.92,79.24,45.98,29.92,76.84,5.79,95.4,Zaid,Alluvial,banana
27.46,65.58,6.36,35.54,57.93,5.63,124.73,Kharif,Black,pigeonpeas
24.38,46.51,9.07,25.38,63.85,6.02,71.83,Kharif,Desert,mothbeans
101.81,58.98,61.54,28.31,79.89,5.93,94.27,Rabi,Alluvial,banana
74.66,34.21,46.28,27.18,75.52,6.42,125.42,Zaid,Alluvial,jute
116.57,39.92,23.55,29.37,92.37,6.32,71.61,Kharif,Black,cotton
19.42,16.28,48.18,21.5,87.61,6.55,83.81,Zaid,Black,pomegranate
18.62,55.98,22.09,27.35,50.85,5.9,165.19,Kharif,Black,pigeonpeas
60.97,53.66,97.57,21.99,17.4,8.18,82.44,Rabi,Black,chickpea
74.56,51.43,23.65,25.28,68.58,6.62,118.23,Kharif,Black,maize
14.5,16.41,25.52,26.64,95.48,5.78,146.95,Kharif,Laterite,coconut
21.52,12.96,26.01,21.85,96.7,6.33,96.83,Zaid,Black,pomegranate
87.69,46.82,42.48,23.62,77.75,6.62,195.76,Kharif,Alluvial,rice
20.54,65.52,18.14,24.6,50.12,5.48,155.32,Kharif,Black,pigeonpeas
24.01,115.07,207.12,19.94,79.63,5.15,68.46,Rabi,Black,grapes
29.3,54.33,21.63,34.1,64.71,7.1,98.22,Kharif,Alluvial,blackgram
18.69,17.61,20.55,23.42,97.79,5.87,153.35,Kharif,Laterite,coconut
20.56,78.75,67.92,18.91,15.23,8.04,76.71,Rabi,Desert,chickpea
38.45,67.24,19.31,24.92,65.33,6.81,49.01,Rabi,Alluvial,blackgram
6.86,13.6,37.5,23.96,87.89,5.93,190.82,Kharif,Laterite,coconut
89.38,50.81,20.83,22.75,58.97,6.16,42.68,Kharif,Black,maize
96.99,77.14,60.3,32.95,84.77,6.87,86.55,Zaid,Alluvial,banana
15.53,39.98,13.64,25.8,52.77,6.88,50.58,Kharif,Desert,mothbeans
92.85,71.0,40.41,19.07,84.27,5.48,133.16,Zaid,Alluvial,banana
14.87,55.38,18.15,15.9,15.66,5.55,99.59,Rabi,Mountain,kidneybeans
22.66,11.09,35.53,20.86,93.47,7.36,100.32,Zaid,Laterite,pomegranate
40.18,73.57,65.83,22.34,19.58,7.66,83.77,Rabi,Black,chickpea
21.92,24.74,26.28,29.4,91.33,4.87,191.83,Kharif,Laterite,coconut
21.52,23.48,6.66,26.91,90.11,7.14,106.1,Kharif,Black,orange
19.3,53.27,22.11,19.09,48.38,6.75,121.56,Kharif,Black,pigeonpeas
101.54,85.89,55.02,23.37,78.45,6.08,85.68,Zaid,Alluvial,banana
112.3,76.39,42.02,30.06,73.55,5.88,111.57,Zaid,Alluvial,banana
18.58,117.9,204.31,19.69,94.1,5.68,122.76,Rabi,Mountain,apple
33.45,63.28,24.95,20.45,25.33,5.77,119.15,Rabi,Mountain,kidneybeans
130.59,13.43,48.55,26.14,93.51,6.77,26.49,Zaid,Laterite,muskmelon
25.14,51.23,20.98,34.48,81.91,6.67,30.55,Zaid,Alluvial,mungbean
17.88,47.48,19.18,34.45,67.67,6.42,19.34,Kharif,Desert,mothbeans
14.23,19.49,31.99,28.33,96.34,6.0,185.51,Kharif,Laterite,coconut
76.52,49.8,31.14,26.67,52.44,5.81,108.52,Kharif,Black,maize
27.0,134.41,210.0,23.54,93.98,6.77,117.43,Rabi,Mountain,apple
22.6,22.76,22.84,28.6,94.76,5.94,159.0,Kharif,Laterite,coconut
17.05,63.08,21.3,15.47,12.65,5.76,83.35,Rabi,Mountain,kidneybeans
24.51,44.3,22.35,26.02,55.01,6.39,67.76,Kharif,Desert,mothbeans
14.56,31.26,14.0,27.46,87.89,6.35,56.39,Zaid,Alluvial,mungbean
15.92,72.89,8.59,15.63,65.41,7.49,49.54,Rabi,Alluvial,lentil
102.03,12.17,51.81,21.16,81.26,6.77,81.23,Rabi,Alluvial,watermelon
12.96,44.83,39.44,30.69,88.01,7.02,48.46,Zaid,Alluvial,mungbean
11.74,60.67,23.58,24.46,46.11,6.17,162.65,Kharif,Black,pigeonpeas
26.83,80.03,17.84,29.1,54.23,5.75,116.75,Kharif,Black,pigeonpeas
8.4,58.0,23.55,23.73,54.21,5.65,139.9,Kharif,Black,pigeonpeas
25.29,56.41,28.89,23.89,21.02,6.1,138.54,Rabi,Mountain,kidneybeans
77.54,68.03,27.7,24.23,61.41,6.33,89.94,Kharif,Black,maize
97.18,55.48,31.3,21.09,79.94,6.9,194.07,Kharif,Alluvial,jute
36.74,77.3,77.18,19.11,10.0,7.15,74.0,Rabi,Black,chickpea
21.7,113.6,198.65,23.08,91.65,5.99,98.59,Zaid,Mountain,apple
25.53,19.16,8.89,20.97,89.82,5.72,93.22,Rabi,Black,orange
100.29,37.07,19.39,24.23,90.82,6.03,66.57,Kharif,Black,cotton
100.02,43.05,54.2,26.38,84.93,5.44,278.24,Kharif,Alluvial,rice
20.81,11.72,43.24,25.31,92.59,5.49,147.49,Kharif,Laterite,coconut
25.63,150.0,204.95,22.23,77.57,5.82,85.6,Rabi,Black,grapes
15.46,67.58,4.85,15.36,59.1,6.8,44.35,Rabi,Alluvial,lentil
122.16,12.08,50.05,21.71,91.73,6.2,38.99,Zaid,Alluvial,watermelon
25.52,150.0,201.87,27.3,78.24,6.47,85.92,Rabi,Red,grapes
26.15,140.83,204.29,21.16,76.8,5.68,86.37,Rabi,Black,grapes
53.2,60.71,18.81,29.1,47.26,6.63,50.26,Kharif,Desert,blackgram
25.3,22.45,38.33,17.34,82.09,6.37,70.14,Zaid,Black,pomegranate
40.24,51.13,66.62,21.24,16.85,7.93,80.87,Kharif,Black,chickpea
16.18,32.52,30.63,25.85,98.24,5.71,216.57,Kharif,Laterite,coconut
87.52,59.1,23.28,22.03,70.38,7.25,81.68,Kharif,Mountain,maize
19.67,70.78,23.69,17.43,68.16,7.11,29.59,Rabi,Alluvial,lentil
27.58,145.84,201.87,28.79,81.08,5.43,75.48,Rabi,Black,grapes
104.15,8.26,54.83,26.88,76.69,7.12,56.16,Zaid,Alluvial,watermelon
90.38,50.22,33.75,26.38,76.05,7.0,168.15,Kharif,Alluvial,jute
116.17,29.79,34.6,22.83,64.38,7.17,97.57,Kharif,Red,coffee
98.25,29.58,33.18,24.56,57.79,6.63,193.34,Kharif,Red,coffee
9.85,75.74,17.02,21.91,30.19,6.04,84.77,Rabi,Desert,kidneybeans
63.34,43.84,40.34,23.65,83.79,7.4,116.61,Kharif,Alluvial,jute
26.75,35.42,24.39,30.79,58.86,7.32,73.46,Kharif,Desert,mothbeans
33.14,64.18,12.69,19.96,19.11,6.51,94.18,Rabi,Mountain,kidneybeans
106.55,91.61,56.08,28.46,80.56,5.95,125.39,Rabi,Alluvial,banana
20.55,72.06,28.93,24.81,18.98,5.9,119.24,Rabi,Alluvial,kidneybeans
19.66,23.92,18.05,27.14,93.87,6.21,178.5,Kharif,Laterite,coconut
50.76,68.75,69.59,32.49,92.9,7.17,130.78,Zaid,Laterite,papaya
38.04,70.09,60.07,29.2,86.62,6.96,86.49,Zaid,Laterite,papaya
8.49,63.16,24.96,36.29,77.23,6.5,45.85,Zaid,Alluvial,mungbean
8.78,26.49,29.37,34.6,50.11,5.49,115.9,Zaid,Laterite,mango
18.25,12.47,33.34,19.42,81.77,6.11,96.96,Zaid,Black,pomegranate
114.68,20.28,38.11,26.1,85.54,6.33,45.59,Zaid,Alluvial,watermelon
28.28,84.35,26.99,14.26,11.15,5.98,86.0,Rabi,Mountain,kidneybeans
93.74,34.19,0.0,27.25,55.17,6.41,45.86,Zaid,Alluvial,maize
18.41,121.11,210.0,26.87,86.15,5.94,104.01,Kharif,Mountain,apple
33.24,58.7,14.77,29.44,72.12,7.13,69.4,Kharif,Alluvial,blackgram
43.7,81.33,68.23,17.61,18.31,7.69,69.97,Rabi,Mountain,chickpea
16.21,111.81,200.9,23.48,87.28,5.49,90.63,Rabi,Black,grapes
31.07,123.49,208.36,26.7,80.32,6.78,94.98,Rabi,Black,grapes
88.01,89.35,56.79,27.2,84.14,6.08,87.57,Zaid,Alluvial,banana
134.06,28.87,16.1,28.17,68.83,6.87,74.5,Kharif,Black,cotton
85.04,49.94,39.98,23.72,88.38,6.15,267.48,Rabi,Alluvial,rice
19.33,15.2,38.46,21.42,90.58,5.74,108.39,Zaid,Black,pomegranate
19.33,29.6,19.31,30.96,74.4,7.19,55.05,Zaid,Alluvial,mungbean
89.32,73.27,48.33,23.8,84.21,5.71,97.72,Zaid,Alluvial,banana
67.29,46.74,47.98,21.49,80.73,6.2,179.07,Kharif,Alluvial,jute
24.87,41.13,21.17,31.07,80.02,5.77,70.06,Zaid,Alluvial,mungbean
89.24,40.83,33.26,16.84,53.92,7.02,19.75,Kharif,Black,maize
38.33,82.22,78.75,21.34,10.0,7.48,69.57,Kharif,Black,chickpea
38.43,83.03,78.31,18.49,12.76,7.15,96.67,Rabi,Black,chickpea
40.52,45.0,79.66,20.01,11.26,6.99,75.31,Rabi,Black,chickpea
20.58,150.0,201.52,22.43,92.05,6.61,104.62,Rabi,Mountain,apple
88.65,48.11,70.79,28.36,81.36,5.72,165.74,Kharif,Alluvial,rice
15.22,64.93,23.66,18.47,18.07,5.79,122.87,Rabi,Mountain,kidneybeans
54.4,66.03,39.74,34.11,99.1,7.01,160.33,Rabi,Red,papaya
111.23,33.6,23.47,30.88,58.52,6.86,121.54,Kharif,Red,coffee
34.01,71.18,8.1,25.04,74.75,7.15,58.08,Kharif,Alluvial,blackgram
1.56,73.62,23.83,18.85,33.48,5.64,97.86,Rabi,Red,kidneybeans
25.38,32.02,29.17,28.88,43.43,5.81,78.08,Zaid,Laterite,mango
26.3,25.44,19.61,29.91,45.34,5.27,111.25,Zaid,Laterite,mango
21.66,7.12,33.86,28.8,96.82,5.67,153.9,Kharif,Laterite,coconut
33.03,69.42,32.04,31.98,91.33,6.67,142.9,Zaid,Laterite,papaya
11.29,131.31,184.95,20.65,92.18,6.23,127.86,Rabi,Black,apple
34.69,74.24,77.96,16.75,17.71,7.34,63.9,Kharif,Black,chickpea
28.09,25.88,31.1,17.5,95.1,5.83,120.19,Zaid,Black,pomegranate
43.12,52.26,91.31,21.58,26.39,8.01,71.68,Rabi,Alluvial,chickpea
75.11,23.44,56.67,25.66,95.73,5.51,27.82,Zaid,Alluvial,muskmelon
11.58,150.0,200.58,20.53,92.5,6.19,139.33,Rabi,Mountain,apple
96.15,10.87,40.78,25.52,95.32,6.97,33.12,Zaid,Alluvial,muskmelon
100.85,18.59,49.26,28.4,95.67,6.43,26.51,Zaid,Alluvial,muskmelon
25.7,24.32,28.92,27.31,46.7,6.61,106.58,Zaid,Laterite,mango
19.76,22.98,38.85,27.25,46.62,6.21,101.31,Zaid,Laterite,mango
101.08,52.65,17.8,22.24,79.19,7.61,62.7,Kharif,Black,cotton
24.98,19.31,16.83,26.95,88.91,6.59,166.13,Kharif,Laterite,coconut
26.65,14.15,38.01,23.63,91.23,6.98,101.27,Zaid,Black,pomegranate
68.61,46.5,43.42,30.63,86.75,5.91,194.06,Kharif,Red,rice
97.38,14.62,47.25,29.34,86.63,6.59,16.0,Zaid,Alluvial,muskmelon
124.74,33.82,28.29,24.38,66.29,6.49,137.38,Kharif,Red,coffee
39.06,70.87,50.92,30.97,87.69,6.51,172.91,Zaid,Laterite,papaya
10.19,52.29,24.99,27.34,55.29,6.64,61.11,Kharif,Desert,mothbeans
82.15,55.32,11.12,19.64,66.07,6.36,44.4,Kharif,Black,maize
23.71,16.78,21.33,31.7,66.93,5.28,89.68,Zaid,Laterite,mango
91.37,14.61,45.8,27.87,92.91,6.49,16.0,Zaid,Alluvial,muskmelon
26.09,74.53,12.88,27.73,57.72,6.04,128.38,Kharif,Black,pigeonpeas
11.71,57.3,24.08,26.82,86.59,7.2,57.0,Zaid,Alluvial,mungbean
117.32,20.91,34.03,25.26,64.54,6.71,171.83,Kharif,Red,coffee
28.85,128.88,169.31,27.09,80.65,5.86,61.52,Rabi,Black,grapes
20.68,22.92,26.08,28.82,97.63,5.59,158.1,Rabi,Laterite,coconut
118.82,61.33,28.01,21.61,83.79,7.1,67.02,Kharif,Black,cotton
21.09,43.67,5.73,29.5,58.4,5.41,213.03,Kharif,Black,pigeonpeas
85.66,53.7,53.56,26.24,91.38,5.81,180.21,Kharif,Mountain,rice
21.34,143.51,206.11,16.55,92.94,5.37,86.83,Rabi,Mountain,apple
16.31,17.08,44.13,15.26,88.43,7.18,108.9,Zaid,Black,pomegranate
96.7,20.95,35.0,24.81,58.32,6.62,164.05,Kharif,Red,coffee
31.16,76.39,90.12,20.68,17.18,7.98,51.89,Rabi,Black,chickpea
122.87,39.45,17.73,21.87,80.19,6.61,59.44,Kharif,Laterite,cotton
84.17,35.91,25.75,25.1,85.31,7.07,172.95,Kharif,Alluvial,jute
18.83,33.84,30.08,34.17,53.18,5.71,94.73,Zaid,Laterite,mango
94.69,73.89,51.16,28.2,88.95,6.19,134.82,Zaid,Alluvial,banana
56.08,54.12,33.0,27.75,85.71,6.13,112.0,Zaid,Laterite,papaya
16.45,108.95,193.74,24.97,90.22,5.75,139.41,Rabi,Mountain,apple
31.98,64.26,68.07,11.31,15.04,8.51,90.69,Rabi,Black,chickpea
70.01,22.54,31.22,24.46,73.19,6.17,222.5,Zaid,Alluvial,rice
18.95,67.02,20.52,36.96,45.29,6.59,199.26,Kharif,Black,pigeonpeas
21.91,30.59,18.24,28.12,48.15,7.41,68.97,Kharif,Desert,mothbeans
8.22,51.76,15.19,27.41,76.93,7.07,63.3,Rabi,Alluvial,mungbean
73.52,43.49,36.19,24.33,76.48,6.55,182.39,Kharif,Alluvial,jute
22.16,11.91,24.27,24.47,85.47,6.02,126.6,Zaid,Black,pomegranate
26.07,135.67,198.54,26.06,84.42,5.86,75.23,Rabi,Black,grapes
15.69,49.62,24.13,27.76,49.17,7.95,44.41,Kharif,Desert,mothbeans
64.96,34.41,48.47,25.21,76.27,6.68,204.91,Kharif,Alluvial,jute
90.71,60.23,29.72,22.64,67.9,6.95,77.42,Kharif,Black,maize
15.03,15.0,39.32,26.43,98.22,6.19,186.91,Kharif,Laterite,coconut
87.04,59.62,13.85,17.22,65.76,6.12,97.79,Kharif,Black,maize
28.27,68.65,93.95,16.62,21.3,8.12,61.89,Rabi,Black,chickpea
93.32,101.71,40.4,20.65,79.95,5.85,101.44,Zaid,Alluvial,banana
85.41,62.72,36.02,25.75,86.03,5.04,290.43,Kharif,Alluvial,rice
18.1,20.83,27.38,27.22,98.55,6.21,143.97,Kharif,Laterite,coconut
80.39,51.51,38.41,23.03,73.93,6.48,164.54,Kharif,Alluvial,jute
21.43,16.81,30.12,32.16,48.76,6.06,96.98,Zaid,Laterite,mango
101.09,26.37,56.12,32.55,89.81,6.83,19.81,Zaid,Alluvial,muskmelon
21.13,103.34,180.23,23.83,93.13,6.6,138.86,Rabi,Desert,apple
95.45,105.93,47.1,29.12,83.51,5.85,106.45,Zaid,Alluvial,banana
15.15,80.04,23.99,24.79,56.01,5.55,126.54,Kharif,Black,pigeonpeas
28.51,57.93,26.06,26.05,63.88,7.88,85.09,Kharif,Alluvial,blackgram
28.11,13.62,12.65,24.98,96.53,6.98,89.91,Rabi,Laterite,orange
30.54,36.64,76.57,22.3,25.79,6.69,84.93,Rabi,Black,chickpea
94.55,16.57,50.42,25.38,87.79,6.43,61.32,Zaid,Alluvial,watermelon
110.87,82.95,51.57,25.86,81.57,6.11,103.18,Zaid,Alluvial,banana
15.58,146.53,210.0,20.64,87.82,6.39,94.39,Rabi,Mountain,apple
42.1,79.61,73.26,15.01,26.95,6.61,67.82,Rabi,Black,chickpea
95.37,16.22,27.16,28.93,47.64,6.7,181.52,Kharif,Red,coffee
16.92,58.76,24.78,28.8,50.8,5.47,188.79,Kharif,Black,pigeonpeas
0.0,10.1,11.58,25.52,90.57,6.62,113.3,Rabi,Black,orange
32.19,134.97,186.98,21.41,93.99,6.31,110.1,Rabi,Mountain,apple
17.57,9.11,23.45,28.41,96.98,5.91,236.88,Kharif,Red,coconut
49.92,47.0,32.15,35.53,93.44,6.95,163.99,Zaid,Laterite,papaya
99.47,6.97,44.28,27.21,83.58,6.51,44.82,Zaid,Alluvial,watermelon
24.76,37.25,20.75,25.6,51.02,6.34,81.61,Kharif,Desert,mothbeans
40.29,72.21,56.73,35.06,88.52,6.43,137.79,Zaid,Laterite,papaya
50.26,68.4,83.8,24.7,11.82,7.25,90.97,Rabi,Black,chickpea
14.77,19.34,41.81,19.01,91.91,6.38,58.47,Zaid,Alluvial,pomegranate
31.35,78.12,66.82,19.29,15.74,6.59,97.1,Rabi,Black,chickpea
60.99,64.64,67.52,27.18,92.42,7.03,126.78,Zaid,Laterite,papaya
27.82,68.66,9.84,24.35,83.18,7.15,46.08,Kharif,Alluvial,lentil
28.87,144.41,210.0,15.37,87.99,4.9,129.46,Rabi,Mountain,apple
37.45,14.21,34.05,16.96,85.77,6.31,137.04,Zaid,Black,pomegranate
61.15,48.96,83.04,20.4,21.43,7.35,81.16,Rabi,Black,chickpea
22.13,30.14,39.4,30.76,43.75,6.81,113.11,Kharif,Alluvial,mango
39.39,48.35,89.81,20.13,11.49,6.87,97.51,Rabi,Black,chickpea
20.55,28.8,30.72,27.56,83.82,6.16,93.28,Zaid,Black,pomegranate
111.32,13.14,49.8,19.97,84.98,6.42,59.5,Zaid,Laterite,watermelon
30.93,71.91,17.85,17.58,24.7,4.94,137.96,Rabi,Mountain,kidneybeans
22.62,43.17,29.01,27.87,81.07,6.76,40.59,Zaid,Mountain,mungbean
107.41,25.34,49.59,26.37,90.4,6.77,31.18,Zaid,Alluvial,muskmelon
101.58,16.0,40.44,27.08,83.89,5.84,43.45,Zaid,Desert,watermelon
25.43,91.79,33.6,22.48,23.64,6.24,146.54,Rabi,Mountain,kidneybeans
90.12,17.04,46.33,26.81,100.0,5.71,30.15,Zaid,Black,muskmelon
23.0,11.07,27.11,31.37,50.7,5.33,99.91,Zaid,Laterite,mango
95.07,45.6,64.63,24.42,83.51,6.18,183.25,Zaid,Alluvial,rice
35.21,79.03,24.25,34.49,59.48,7.65,79.97,Kharif,Alluvial,blackgram
33.59,85.08,65.22,22.92,10.5,7.12,87.79,Rabi,Black,chickpea
123.64,56.48,50.32,27.82,87.95,6.05,125.88,Zaid,Black,banana
43.09,55.23,24.57,23.69,60.38,7.0,58.55,Kharif,Alluvial,blackgram
26.98,85.3,20.67,31.57,44.46,5.79,143.86,Kharif,Black,pigeonpeas
54.07,55.38,43.8,33.1,90.65,6.91,142.93,Zaid,Laterite,papaya
19.09,77.82,24.32,24.65,41.77,5.64,206.27,Kharif,Black,pigeonpeas
